Region Code,Provider Code,Provider Name,Total number of incomplete pathways,Total within 18 weeks,Total 52 plus weeks,% within 18 weeks,% 52 plus weeks,Month
Y56,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,16184,11298,464,69.80968858131487,2.8670291646070196,June-2025
Y56,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,68982,57354,38,83.1434287205358,0.05508683424661506,June-2025
Y56,RPG,OXLEAS NHS FOUNDATION TRUST,3784,1834,660,48.46723044397463,17.441860465116278,June-2025
Y56,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,3930,3712,12,94.4529262086514,0.3053435114503817,June-2025
Y56,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,140602,84884,2076,60.37182970370265,1.4765081577786945,June-2025
Y56,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,72238,46908,682,64.9353525845123,0.94410144245411,June-2025
Y56,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,144362,87526,2556,60.62952854629334,1.7705490364500354,June-2025
Y56,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,112218,73058,1982,65.10363756260136,1.7662050651410646,June-2025
Y56,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,177942,109870,3288,61.744838205707474,1.847793101122838,June-2025
Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,125366,79674,4194,63.553116474961314,3.3454046551696632,June-2025
Y58,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,110246,71540,1518,64.89124321970866,1.3769207046060628,June-2025
Y58,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,66522,45366,1354,68.19698746279427,2.0354168545744264,June-2025
Y58,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,44822,26434,754,58.97550310115568,1.6822096291999464,June-2025
Y58,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,83696,49700,2032,59.38157140126171,2.4278340661441407,June-2025
Y58,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,81228,58298,818,71.77081794455114,1.007041906731669,June-2025
Y58,RH5,SOMERSET NHS FOUNDATION TRUST,114780,75472,3174,65.75361561247604,2.7652901202300053,June-2025
Y58,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,147480,89314,4618,60.56007594250068,3.1312720368863576,June-2025
Y58,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,898,896,0,99.77728285077951,0.0,June-2025
Y58,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,96552,59196,3440,61.30996768580661,3.562846963294391,June-2025
Y58,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,76426,46448,1358,60.775128882840924,1.776882212859498,June-2025
Y58,RNZ,SALISBURY NHS FOUNDATION TRUST,58242,39100,448,67.13368359603035,0.7692043542460767,June-2025
Y58,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,120562,83060,92,68.89401303893432,0.07630928484928917,June-2025
Y58,RVJ,NORTH BRISTOL NHS TRUST,87830,58014,312,66.05260161675966,0.3552316975976318,June-2025
Y59,R1F,ISLE OF WIGHT NHS TRUST,27896,17746,118,63.61485517636937,0.4229997132205334,June-2025
Y59,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,60404,32924,3042,54.50632408449771,5.0360903251440305,June-2025
Y59,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,26654,19998,26,75.02813836572372,0.09754633450889173,June-2025
Y59,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,148368,82488,5314,55.59689420899385,3.5816348538768463,June-2025
Y59,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,125278,80290,2846,64.08946502977379,2.271747633263622,June-2025
Y59,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,118058,66896,4672,56.6636737874604,3.957376882549255,June-2025
Y59,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,73048,58380,64,79.92005256817436,0.08761362391851933,June-2025
Y59,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,100692,59974,3322,59.561832121717714,3.299169745362094,June-2025
Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,65154,38312,1914,58.80222242686558,2.9376554010498204,June-2025
Y59,RPA,MEDWAY NHS FOUNDATION TRUST,79986,43710,3470,54.64706323606631,4.338259195359187,June-2025
Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,35738,22286,776,62.35939336280709,2.171358218143153,June-2025
Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,173650,102372,5694,58.953066513101064,3.2790095018715806,June-2025
Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,110684,66454,1726,60.039391420620866,1.5593943117343068,June-2025
Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,104824,59648,1916,56.902999313134394,1.8278256887735636,June-2025
Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,161378,88824,4444,55.04095973428844,2.753783043537533,June-2025
Y59,RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,7910,7374,0,93.22376738305942,0.0,June-2025
Y59,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,95960,69502,0,72.42809503959984,0.0,June-2025
Y59,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,180,180,0,100.0,0.0,June-2025
Y59,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,123078,78006,1728,63.37932043094623,1.4039877151074929,June-2025
Y59,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,98812,57316,2482,58.00510059506942,2.5118406671254503,June-2025
Y59,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,226244,116056,11720,51.29682997118156,5.180247873976769,June-2025
Y59,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,7416,7410,0,99.91909385113269,0.0,June-2025
Y60,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,238,232,0,97.47899159663865,0.0,June-2025
Y60,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,17814,11370,326,63.82620410912765,1.8300213315369933,June-2025
Y60,RBK,WALSALL HEALTHCARE NHS TRUST,56074,40072,88,71.46270999036986,0.15693547811820094,June-2025
Y60,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,63048,38034,1846,60.3254663113818,2.9279279279279278,June-2025
Y60,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,66778,43940,1490,65.8001138099374,2.231273772799425,June-2025
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,129092,82726,3302,64.08297958045425,2.557865708177114,June-2025
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,70880,45436,790,64.10270880361175,1.1145598194130926,June-2025
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,153974,86550,3926,56.21078883447856,2.549781131879408,June-2025
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,34648,15726,2686,45.38790117755715,7.75225121219118,June-2025
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,159498,88464,4752,55.464018357596956,2.9793477034194784,June-2025
Y60,RLQ,WYE VALLEY NHS TRUST,45684,27332,1446,59.82838630592767,3.1652219595482007,June-2025
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,40558,24628,1374,60.72291533113072,3.3877410128704573,June-2025
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,93326,58942,908,63.157105201122945,0.9729335876390287,June-2025
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,49910,32460,492,65.03706672009616,0.9857743939090363,June-2025
Y60,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,84844,53052,1094,62.52887652633068,1.289425298194333,June-2025
Y60,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,88,84,0,95.45454545454545,0.0,June-2025
Y60,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,56546,32326,476,57.1676157464719,0.8417925229017083,June-2025
Y60,RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,14786,14366,4,97.15947517922359,0.027052617340727714,June-2025
Y60,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,25908,15562,932,60.066388760228506,3.5973444495908597,June-2025
Y60,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,208284,109042,10738,52.352557085517844,5.1554608131205475,June-2025
Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,201910,116026,4380,57.46421673022633,2.169283344064187,June-2025
Y60,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,140726,76836,3610,54.599718602106215,2.5652686781405,June-2025
Y60,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,219154,124020,5210,56.590342863922174,2.377323708442465,June-2025
Y60,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,110976,66434,1904,59.863393886966556,1.715686274509804,June-2025
Y60,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,163226,104836,3282,64.22751277370027,2.010709078210579,June-2025
Y60,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,131080,75988,2262,57.97070491303021,1.7256637168141593,June-2025
Y60,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,75260,41338,1436,54.92692001062982,1.9080520861015149,June-2025
Y60,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,30326,20012,114,65.98957989843699,0.3759150563872585,June-2025
Y61,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,344756,173820,23556,50.418266832194355,6.832658459896275,June-2025
